,TicketID,Summary,unclean,Top2Grams,Top3Grams,Top4Grams,Automation Category
162,1126877,daily pm checklist wt critical device th nov need prepared share ch,"Daily PM checklist of all WT critical devices as on 20 th Nov '2014,needs to be prepared and shared with CH.",pm checklist,checklist wt critical,federation access need enable,
163,816720,daily pm checklist wt critical device th nov need prepared share ch,"Daily PM checklist of all WT critical devices as on 24 th Nov '2014,needs to be prepared and share with CH.",pm checklist,checklist wt critical,federation access need enable,
164,883480,daily pm checklist wt critical device th nov need prepared share ch,"Daily PM checklist of all WT critical devices as on 26 th Nov '2014,needs to be prepared and shared with CH.",pm checklist,checklist wt critical,federation access need enable,
165,713188,daily pm checklist wt critical device th nov need preapar share ch,"Daily PM checklist of all WT critical devices as on 27 th Nov '2014,needs to be preapared and shared with CH.",pm checklist,checklist wt critical,federation access need enable,
166,916930,daily pm checklist wt critical device rd november need prepared share ch,"Daily PM checklist of all WT critical devices as on 3 rd November '2014,needs to be prepared and shared the same with CH.",pm checklist,checklist wt critical,federation access need enable,
167,842473,daily pm checklist wt critical device th nov need prepared share ch,"Daily PM checklist of all WT critical devices as on 4 th Nov '2014,needs to be prepared and shared the same with CH.",pm checklist,checklist wt critical,federation access need enable,
168,851729,daily pm checklist wt critical device th nov need prepared share ch,"Daily PM checklist of all WT critical devices as on 8 th Nov '2014,needs to be prepared and shared the same with CH.",pm checklist,checklist wt critical,federation access need enable,
169,964749,daily pm checklist wt critical device th october need prepared share ch,"Daily PM checklist of all WT critical devices as on 9 th October '2014,needs to be prepared and shared with CH.",pm checklist,checklist wt critical,federation access need enable,
170,883414,daily utilization detail report creditsuisse not work aruba,Daily Utilization Detail Report - Credit-Suisse - Not working from Aruba,not work,report creditsuisse not,federation access need enable,
171,672850,dana project user face slowness issue,DANA project users are facing slowness issue.,slowness issue,face slowness issue,federation access need enable,
172,442954,datum backup,Data backup,datum backup,No Pattern,federation access need enable,
173,736314,datum backup,Data backup,datum backup,No Pattern,federation access need enable,
174,1047690,datum backup laptop laptop,"data backup, laptop to laptop",datum backup,backup laptop laptop,federation access need enable,
175,834478,data card,Data card,data card,No Pattern,federation access need enable,
176,903289,data card,DATA CARD,data card,No Pattern,access communicate client domain,
177,799871,data card installation,Data Card installation,data card,data card installation,fedex label need create,
178,1042229,data card installation,Data card Installation,data card,data card installation,fedex shipment label create,
179,1041893,data card installation,Data Card installation,data card,data card installation,fedex shipment label create,
180,962623,datum card not detect laptop rectify,Data card is not detecting in my Laptop. Please rectify the same.,datum card,datum card not,vpn feel slow wrong,
181,1014297,data card issue,Data card issue,data card,data card issue,ip need remove tacac,
182,721945,data card issue,data card issue,data card,data card issue,odc sjp network slowness,
183,782767,data card issue,Data card issue,data card,data card issue,free ip require idrac,
184,933851,data card issue,DATA card issue,data card,data card issue,drive spaceonly mb available,
185,1048005,datum card not work,DATA card not working,not work,datum card not,drive spaceonly mb available,
186,1048098,datum card not work laptop,Data card not working on laptop.,not work,not work laptop,free disk space performance,
187,1003919,data card problem,Data Card Problem,data card,data card problem,freen ip require segment,
188,960093,datum copy,data copy..,datum copy,No Pattern,freq account lock issue,
189,933873,datum recovery,Data Recovery,datum recovery,No Pattern,frequent account lockout issue,
190,942510,datum transfer,Data transfer,datum transfer,No Pattern,frequent account lockout issue,
191,960156,datacard,Datacard,No Pattern,No Pattern,frequent account lockout problem,
192,759660,datacard issue,datacard issue,datacard issue,No Pattern,frequent ad account lockout,
193,751515,datacard issue,DataCard issue,datacard issue,No Pattern,frequent connection loss connect,
194,1070561,,david.augustine@wipro.com,No Pattern,No Pattern,frequently account lock issue,
195,844115,dc support server not accessible help priority regard mandar,"DC Support Team,   One of our servers, 10.200.49.210 is not accessible. Please help on priority.   Thanks & Regards, Mandar",server not,dc support server,frequently ask install file,
196,1044178,dchauhan da issue direct access not work,"dchauhan---> da issue , direct access not working",not work,access not work,network face issue needful,
197,946275,de password issue,DE304522- password issue,password issue,de password issue,th december ecube task,
198,565498,de,DE313701,No Pattern,No Pattern,account lock behalf user,
199,667719,dc support,"Dear DC Support Team,",dc support,No Pattern,fs file server appear,
200,556284,store,"Dear Stores Team,",No Pattern,No Pattern,function module upload purchase,
201,695376,regard face issue reset user passcodeuser recovery safeboot try follow step code generate user machine xsbcdabrvcmq message user machine,Dear Team  This is in regard with the L1 call 772923. We are facing issue while reset user passcode(User Recovery ) for Safeboot.   We have tried the following steps:  Code generated on the user machine: XS2BC3DABRVC5M8Q     Message from User Machine,face issue,regard face issue,fw critical alarm occur,
202,526509,dot forwarding enable email forward not work kindly check,dear team dot forwarding is enable only  but still email forward not working kindly check with this,not work,not work kindly,fw critical alarm occur,
203,877560,kindly add user -PRON- would blackberry office server group,dear team kindly add this user id in to blackberry office365 server group,add user,kindly add user,critical alarm ecsaclwiprocom chassi,
204,1069309,,"Dear Team,",No Pattern,No Pattern,fw confirmation appraisal error,
205,1019894,,"Dear Team,",No Pattern,No Pattern,critical project requirement request,
206,1121114,observed wipro mumbai andheri secondary link mar not business impacting event primary link stable checking end revert ft detail shortly,"Dear Team,  We have observed that WIPRO_ Mumbai Andheri Secondary Link is down from Mar 27 21:23:24  This is not business impacting event as Primary link is up and stable.  We are checking from our end and will revert with FT details shortly.",secondary link,ft detail shortly,gts indiadomestic request create,
207,1121107,observed wipro raipur single homed link mar business impacting event link location checking end revert ft detail shortly meanwhi,"Dear Team,  We have observed that WIPRO_ Raipur Single homed Link is down from Mar 27 19:59:18  This is business impacting event as there is no back up link at location.  We are checking from our end and will revert with FT details shortly.  Meanwhi",observed wipro,ft detail shortly,fw not access helpline,
208,1121097,-PRON- would need enable work lync,"Dear Team, ID needs to be enabled for working in lync",need enable,would need enable,fw incident work progress,
209,966043,teamuser able connect vpn issue connect vpn network slownesswe give system control noc,"Dear team,user is able to connect to vpn without any issues but when connected with vpn there is network slownesswe have also given the system control to noc team.",connect vpn,connect vpn network,fw incident user clarify,
210,1179642,teamuser login logout immediately,dear teamuser can login but it will logout immediately,logout immediately,login logout immediately,fw local onsite policy,
211,820376,debmo federation access,debmo= federation access,federation access,debmo federation access,fw not able log,
212,942240,deehar pw issue,deehar= pw issue,pw issue,deehar pw issue,fw pend user ucp,
213,942954,degupta federation acccess,degupta3= federation acccess,degupta federation,degupta federation acccess,fw pend user ucpticket,
214,893228,delay cecause work,Delayed cecause i am working on other call.,cecause work,delay cecause work,fw qplc policy query,
215,643737,delete enter button not work,delete and enter buttons are not working,not work,button not work,fw qplc policy query,
216,775802,dell charger need replace,dell charger needs to be replaced,need replace,dell charger need,fw rakesh relocation extension,
217,773183,desk request,Desk move request.,desk request,No Pattern,fw rakesh relocation extension,
218,814388,desk phone,desk phone: 9077922766,desk phone,No Pattern,fw rakesh relocation extension,
219,849948,destination ip address need add class,Destination IP address need to be added to the class CardinalHealth-SSL2013111303,need add,destination ip address,spam notification new message,
220,891513,detail share mail,Details shared in mail,detail share,detail share mail,link not visible mywipro,
221,904493,devcie,devcie down,No Pattern,No Pattern,vashist sondhi mywipro not,
222,764993,devcie,devcie down,No Pattern,No Pattern,password expiration reminder mail,
223,721489,devcie,devcie down,No Pattern,No Pattern,not login webmail mailbox,
224,815491,devcie,devcie down,No Pattern,No Pattern,gakulka vpn link send,
225,766965,devcie,Devcie down,No Pattern,No Pattern,gateway service not accessible,
226,942167,devcie,devcie down,No Pattern,No Pattern,gcc odc proxy issue,
227,777001,device addition tacac,Device addition in TACACS,device addition,device addition tacac,No Pattern,
228,712790,device location,Device back for US location,device location,No Pattern,get error window run,
229,721849,device,Device down,No Pattern,No Pattern,get loop ip address,
230,854010,device,Device down,No Pattern,No Pattern,get message repeatedly screen,
231,813458,device,device down,No Pattern,No Pattern,gndc internet site slow,
232,944615,device,Device down,No Pattern,No Pattern,vlan port follow mac,
233,813402,device,Device down,No Pattern,No Pattern,tower stack switch change,
234,860174,device,Device Down,No Pattern,No Pattern,stack switch change port,
235,805856,device,device down,No Pattern,No Pattern,stack switch change port,
236,1016681,device,device down,No Pattern,No Pattern,get new laptop configure,
237,879229,device,device down,No Pattern,No Pattern,get new laptop need,
238,893191,device,device down,No Pattern,No Pattern,greddy mail not work,
239,786172,device,Device Down,No Pattern,No Pattern,No Pattern,
240,910435,device critical alarm clear sjpsfaw device stop respond,Device down A CRITICAL alarm cleared on SJP2-S4-15F-AW - DEVICE HAS STOPPED RESPONDING,stop respond,device stop respond,gsk odc onsite unable,
241,960065,device eccafeteria,Device EC3-Cafeteria-3550  (10.200.208.2530),device eccafeteria,No Pattern,port wtitms vm server,
242,809435,device eccafeteria,Device EC3-Cafeteria-3550  (10.200.208.2530),device eccafeteria,No Pattern,gsmc backbone internet access,
243,1017733,device get reboot ectfbcl,Device Got Rebooted  EC2-T6-2FB-C4006-L2,get reboot,device get reboot,guest account removal desktop,
244,781356,device get reboot sjp device,Device got rebooted at SJP2  L2 Device.,get reboot,device get reboot,would creation pree meet,
245,1066415,device stop respond poll,DEVICE HAS STOPPED RESPONDING TO POLLS,stop respond,stop respond poll,guest internet user count,
246,1080237,device stop respond poll,DEVICE HAS STOPPED RESPONDING TO POLLS,stop respond,stop respond poll,wifi aberdeen not work,
247,696939,device stop respond poll,DEVICE HAS STOPPED RESPONDING TO POLLS,stop respond,stop respond poll,No Pattern,
248,867768,device stop respond poll,DEVICE HAS STOPPED RESPONDING TO POLLS,stop respond,stop respond poll,No Pattern,
249,17007,device -PRON- would foxsbbectacl,Device ID: FOX0520S0BB(EC1-T1-3A-C4006-L2),would foxsbbectacl,No Pattern,guset wifi scope dhcp,
250,1052290,device reachable,Device is no t reachable CDC5-S43D-C6500-L2.wipro.com (10.142.1.19),device reachable,No Pattern,hard disk datum recovery,
251,869538,device not reachable,Device is not reachable   WT-CHN-CDU-6509-2F-L2.wipro.com - 10.171.100.14,not reachable,device not reachable,drive not work asset,
252,729616,device not reachable,Device is not reachable  CDC5-S43E-C6500-L2.wipro.com (10.142.1.20),not reachable,device not reachable,harddisk damage need replacement,
253,806816,device not reachable ectgacl,Device is not reachable - EC3-T8GA-C4506-L2 (10.200.253.201),not reachable,device not reachable,supply show user update,
254,722615,device not reachable wtusrwcior,Device is not reachable  WT-US-RWC-7200-IOR( 10.165.100.5),not reachable,device not reachable,have proxy issue unable,
255,746527,device not reachable wtvgkdc,Device is not reachable - WT-VG224-KDC2 (10.140.227.12),not reachable,device not reachable,hdc device not reachable,
256,1073406,device not reachable ectbcl,Device is not reachable (EC3-T86B-C4506-L2 - 10.200.253.214),not reachable,device not reachable,internet traffic shift primary,
257,968046,device not reachable ectmsrcl,Device is not reachable (EC3-T8MSR-C4506-L2 -10.200.253.222),not reachable,device not reachable,traffic shift primary secondary,
258,512424,device not reachable wthdcbcebl,Device is not reachable (WT-HDC6-B2-C6506E-1B-L2 - 10.159.1.43),not reachable,device not reachable,packet shaper shaping issue,
259,838742,device not reachable,Device is not reachable CDC5-S43E-C6500-L2.wipro.com - 10.142.1.20,not reachable,device not reachable,link kindly check date,
260,728658,device not reachable ipaddress,Device is not reachable.  WBPO-BestBuy-S6-3F-CW-Switch4- IPAddress : 10.142.25.39,not reachable,device not reachable,hdc switch not reachable,
261,1181666,device not reachable cdcsbcl,Device is not reachable. CDC5-S21B-C6500-L2 - (10.145.1.113),not reachable,device not reachable,build configuration current configuration,
262,1181536,device reachable,Device is Reachable   WT-GDC3-SEC-IOR.wipro.com (10.105.203.1),device reachable,No Pattern,help user account unlock,
263,1014762,device reachable cdcsecl,Device is reachable - CDC5-S43E-C6500-L2 (10.142.1.20),device reachable,device reachable cdcsecl,help user account unlock,
264,1172636,device reachable,Device is reachable - CDC5-S43E-C6500-L2.wipro.com (10.142.1.20),device reachable,No Pattern,help user frequent account,
265,1144737,device not reachable,Device not reachable,not reachable,device not reachable,help user otp registration,
266,862772,device not reachable,Device not reachable,not reachable,device not reachable,help user otp registration,
267,909750,device stop respond poll,Device stopped responding to polls. JDC_WANEdge-SW.wipro.com - 10.136.64.194,stop respond,stop respond poll,help user otp registration,
268,574064,device health checkup require,Devices health checkup required,device health,health checkup require,help user otp registration,
269,878311,devicetype ciscovxr,DeviceType:		 Cisco7206VXR,devicetype ciscovxr,No Pattern,help user otp registration,
270,1094888,devv password reset,Devv= password reset,password reset,devv password reset,help user otp registration,
271,805812,dhcp access require irmc audit,DHCP  access required to IRMC to do the audit,access require,dhcp access require,help user otp registration,
