,TicketID,Summary,unclean,Top1Grams,Top2Grams,Top3Grams,Top4Grams,Automation Category
60,536090,contact number,contact number :- +1 216 543 9234,number,contact number,No Pattern,No Pattern,Need Manual Analysis
61,660017,contact number,contact number : -+1 262-229-7680,number,contact number,No Pattern,No Pattern,Need Manual Analysis
62,574589,contact number,contact number : +1 3033305101,number,contact number,No Pattern,No Pattern,Need Manual Analysis
63,849717,contact number,contact number : +1 4158285099,number,contact number,No Pattern,No Pattern,Need Manual Analysis
64,585712,contact number,contact number :- +1 6023631412,number,contact number,No Pattern,No Pattern,Need Manual Analysis
65,404821,contact number,contact number : +1 6506031216,number,contact number,No Pattern,No Pattern,Need Manual Analysis
66,389638,contact number,contact number : +1 6692265124,number,contact number,No Pattern,No Pattern,Need Manual Analysis
67,582126,contact number,contact number : +1 7205395057,number,contact number,No Pattern,No Pattern,Need Manual Analysis
68,557571,contact number,contact number :- +1 813-573-0222,number,contact number,No Pattern,No Pattern,Need Manual Analysis
69,495183,contact number,contact number : +14082504367,number,contact number,No Pattern,No Pattern,Need Manual Analysis
70,475048,contact number,contact number :- +15084048307,number,contact number,No Pattern,No Pattern,Need Manual Analysis
71,471644,contact number,contact number : +16143167012,number,contact number,No Pattern,No Pattern,Need Manual Analysis
72,467416,contact number,contact number : +44 07768045015,number,contact number,No Pattern,No Pattern,Need Manual Analysis
73,497146,contact number,contact number : +44 7440359245,number,contact number,No Pattern,No Pattern,Need Manual Analysis
74,969519,contact number,contact number : +44 7768145957,number,contact number,No Pattern,No Pattern,Need Manual Analysis
75,500290,contact number,contact number : +44 7867982506,number,contact number,No Pattern,No Pattern,Need Manual Analysis
76,404073,contact number,contact number : +44 7942849262,number,contact number,No Pattern,No Pattern,Need Manual Analysis
77,522804,contact number,Contact number : +447768099857,number,contact number,No Pattern,No Pattern,Need Manual Analysis
78,452586,contact number,contact number : +65 91127498,number,contact number,No Pattern,No Pattern,Need Manual Analysis
79,391675,contact number,contact number : +65 96407850,number,contact number,No Pattern,No Pattern,Need Manual Analysis
80,651008,contact number,Contact number : 00-44-7791167086,number,contact number,No Pattern,No Pattern,Need Manual Analysis
81,656730,contact number,contact number : 02035619409,number,contact number,No Pattern,No Pattern,Need Manual Analysis
82,670944,contact number,contact number : 07424281622,number,contact number,No Pattern,No Pattern,Need Manual Analysis
83,645967,contact number,"contact number : 3606 ,  819084616065",number,contact number,No Pattern,No Pattern,Need Manual Analysis
84,557103,contact number,Contact number : 4085074840,number,contact number,No Pattern,No Pattern,Need Manual Analysis
85,624719,contact number,Contact number : 4257613318,number,contact number,No Pattern,No Pattern,Need Manual Analysis
86,627455,contact number,contact number : 425-945-6921,number,contact number,No Pattern,No Pattern,Need Manual Analysis
87,527908,contact number,contact number : 6155124253,number,contact number,No Pattern,No Pattern,Need Manual Analysis
88,487991,contact number,contact number : 6213234491,number,contact number,No Pattern,No Pattern,Need Manual Analysis
89,489205,contact number,Contact number : 732 586 2833,number,contact number,No Pattern,No Pattern,Need Manual Analysis
90,488549,contact number,Contact number : 8487025739,number,contact number,No Pattern,No Pattern,Need Manual Analysis
91,547574,contact number,Contact number : 908 635 4732,number,contact number,No Pattern,No Pattern,Need Manual Analysis
92,547907,contact number,contact number : 9089174881,number,contact number,No Pattern,No Pattern,Need Manual Analysis
93,547590,contact number,contact number : 9820109883,number,contact number,No Pattern,No Pattern,Need Manual Analysis
94,547737,contact number,contact number :+65 84089754,number,contact number,No Pattern,No Pattern,Need Manual Analysis
95,531516,contact number,contact number: +18153428650,number,contact number,No Pattern,No Pattern,Need Manual Analysis
96,531172,contact number,Contact number: 678 670 1762,number,contact number,No Pattern,No Pattern,Need Manual Analysis
97,544452,contact number,Contact Number: 7768103182,number,contact number,No Pattern,No Pattern,Need Manual Analysis
98,531143,continous pop,Continous pop,pop,continous pop,No Pattern,No Pattern,Need Manual Analysis
99,531428,corporate network not work window can not contact direct access,corporate network  is not working windows cannot contact direct access,not,not work,corporate network not,not contact direct access,Need Manual Analysis
100,1088976,corporate wifi configuration,Corporate wifi configuration,configuration,wifi configuration,corporate wifi configuration,No Pattern,Need Manual Analysis
101,622278,not open mail box,could not open mail box,not,not open,not open mail,not open mail box,Need Manual Analysis
102,569573,kindly provide report month feb,Could you kindly provide report for the month of Feb-2015,kindly,kindly provide,report month feb,kindly provide report month,Need Manual Analysis
103,583885,cpu utilization high,CPU utilization High.,utilization,cpu utilization,cpu utilization high,No Pattern,Likely Automatable
104,506675,crajeecrajee,crajeecrajee,crajeecrajee,No Pattern,No Pattern,No Pattern,Need Manual Analysis
105,488184,creat dhcp pool,Creat a DHCP Pool,dhcp,creat dhcp,creat dhcp pool,No Pattern,Need Manual Analysis
106,727439,create class pdc packetshaper,Create  class in pdc packetshaper.,class,class pdc,create class pdc,create class pdc packetshaper,Need Manual Analysis
107,728018,create new ct odc bandwidth class ec packet shaper,create a new CTS ODC bandwidth class in EC packet shaper,odc,packet shaper,ec packet shaper,class ec packet shaper,Need Manual Analysis
108,452159,create class pdc packetshaper ref lpr,create below class in PDC packetshaper. REF LPR 2015010604,class,class pdc,create class pdc,create class pdc packetshaper,Need Manual Analysis
109,465993,create new class schneider ssl vpn ps,Create new class for Schneider SSL VPN  in PS,new,create new,ssl vpn ps,schneider ssl vpn ps,Need Manual Analysis
110,729545,create bw class pdc ps mb bwcmr raise,create the Below BW Class in PDC PS with 8MB BW.CMR#2548 is raised for the same,raise,class pdc,create bw class,create bw class pdc,Need Manual Analysis
111,722282,create pst outlook,Creating PST in outlook,outlook,pst outlook,create pst outlook,No Pattern,Likely Automatable
112,815124,creation lm user -PRON- would tacacs testing purpose address login issue lm server,Creation of LMS user ID on Tacacs for testing purpose to address the login issue of LMS server,issue,login issue,purpose address login,would tacacs testing purpose,Need Manual Analysis
113,536879,crm application not work ist pm ist th november,CRM applications were not working between 10AM IST to 2.45PM IST on 9th November 2014,not,not work,application not work,work ist pm ist,Need Manual Analysis
114,668031,crm issue,CRM issue,issue,crm issue,No Pattern,No Pattern,Need Manual Analysis
115,451077,crosslink not load correctly,Crosslink not loading correctly.,not,not load,not load correctly,crosslink not load correctly,Need Manual Analysis
116,557826,current utilization report,Current Utilization Reports,utilization,utilization report,current utilization report,No Pattern,Need Manual Analysis
117,900313,customer vpn slow wipro network not able work block activity public network connect smooth,Customer VPN is very slow in the wipro network and not able to work. This is blocking our activity. From public network it is connecting smooth.,not,not able,able work block,vpn slow wipro network,Need Manual Analysis
118,900322,cvs proxy issue,CVS proxy issue,issue,proxy issue,cvs proxy issue,No Pattern,Need Manual Analysis
119,461482,cwi password issue,cwi13071= password issue,issue,password issue,cwi password issue,No Pattern,Need Manual Analysis
120,466411,da class utilization report,DA class utilization report.,da,utilization report,class utilization report,da class utilization report,Need Manual Analysis
121,620763,da not work,DA is not working,not,not work,da not work,No Pattern,Need Manual Analysis
122,883220,da not work,DA Is not working,not,not work,da not work,No Pattern,Need Manual Analysis
123,437341,da not work ticket number,DA is not working : ticket number 999571,not,not work,da not work,da not work ticket,Need Manual Analysis
124,1182289,da show action need,DA is showing Action needed,need,show action,da show action,da show action need,Need Manual Analysis
125,732544,da show action need,DA is showing Action needed,need,show action,da show action,da show action need,Need Manual Analysis
126,720733,da issue,DA issue,issue,da issue,No Pattern,No Pattern,Need Manual Analysis
127,793026,da issue,DA Issue,issue,da issue,No Pattern,No Pattern,Need Manual Analysis
128,1114308,da issue,DA issue,issue,da issue,No Pattern,No Pattern,Need Manual Analysis
129,1114299,da issue,DA issue,issue,da issue,No Pattern,No Pattern,Need Manual Analysis
130,473632,da issue,DA issue,issue,da issue,No Pattern,No Pattern,Need Manual Analysis
131,473649,da issue,DA issue,issue,da issue,No Pattern,No Pattern,Need Manual Analysis
132,1062024,da issue,DA issue,issue,da issue,No Pattern,No Pattern,Need Manual Analysis
133,605807,da issue,DA Issue,issue,da issue,No Pattern,No Pattern,Need Manual Analysis
134,514138,da issue,DA Issue,issue,da issue,No Pattern,No Pattern,Need Manual Analysis
135,766210,da issue,DA Issue,issue,da issue,No Pattern,No Pattern,Need Manual Analysis
136,471819,da issue,DA Issue,issue,da issue,No Pattern,No Pattern,Need Manual Analysis
137,471822,da issue,DA Issue,issue,da issue,No Pattern,No Pattern,Need Manual Analysis
138,508611,da issue,DA Issue,issue,da issue,No Pattern,No Pattern,Need Manual Analysis
139,578897,da issue,DA Issue,issue,da issue,No Pattern,No Pattern,Need Manual Analysis
140,773089,da issue,DA issue,issue,da issue,No Pattern,No Pattern,Need Manual Analysis
141,1151770,da issue,DA issue,issue,da issue,No Pattern,No Pattern,Need Manual Analysis
142,718405,da issue,DA Issue,issue,da issue,No Pattern,No Pattern,Need Manual Analysis
143,475018,da issue,DA Issue,issue,da issue,No Pattern,No Pattern,Need Manual Analysis
144,484829,da issue,DA Issue,issue,da issue,No Pattern,No Pattern,Need Manual Analysis
145,552422,da issue trace issue,DA issue and Trace issue,issue,da issue,da issue trace,da issue trace issue,Need Manual Analysis
146,581194,da not work,DA not working,not,not work,da not work,No Pattern,Need Manual Analysis
147,581187,da not work,DA not working,not,not work,da not work,No Pattern,Need Manual Analysis
148,577121,da not work,DA not working,not,not work,da not work,No Pattern,Need Manual Analysis
149,483516,da not work,DA not working,not,not work,da not work,No Pattern,Need Manual Analysis
150,1082045,da not work,DA not working,not,not work,da not work,No Pattern,Need Manual Analysis
151,847840,da stop work,DA stopped working,work,stop work,da stop work,No Pattern,Need Manual Analysis
152,682262,daoutlook issue,DA303721-outlook issue,issue,daoutlook issue,No Pattern,No Pattern,Need Manual Analysis
153,474745,daily backup nortel core device,Daily BACKUP for NORTEL CORE devices,device,core device,backup nortel core,backup nortel core device,Need Manual Analysis
154,474677,daily pm checklist wt critical device st nov need prepared share ch,"Daily PM checklist of all WT critical devices as on 1 st Nov '2014,needs to be prepared and shared the same with CH.",need,share ch,pm checklist wt,checklist wt critical device,Need Manual Analysis
155,793671,daily pm checklist wt critical device th october need prepared share ch,"Daily PM checklist of all WT critical devices as on 10 th October '2014,needs to be prepared and shared the same with CH.",need,share ch,checklist wt critical,checklist wt critical device,Need Manual Analysis
156,1141198,daily pm checklist wt critical device th october need prepared share ch,"Daily PM checklist of all WT critical devices as on 11 th October '2014,needs to be prepared and shared with CH.",need,share ch,checklist wt critical,checklist wt critical device,Need Manual Analysis
157,1039573,daily pm checklist wt critical device th nov need prepared share ch,"Daily PM checklist of all WT critical devices as on 12 th Nov '2014,needs to be prepared and shared with CH.",need,share ch,checklist wt critical,checklist wt critical device,Need Manual Analysis
158,1141254,daily pm checklist wt critical device th nov need prepared share ch,"Daily PM checklist of all WT critical devices as on 13 th Nov '2014,needs to be prepared and shared with CH.",need,share ch,checklist wt critical,checklist wt critical device,Need Manual Analysis
159,720875,daily pm checklist wt critical device th nov need prepared share ch,"Daily PM checklist of all WT critical devices as on 14 th Nov '2014,needs to be prepared and shared with CH.",need,share ch,checklist wt critical,checklist wt critical device,Need Manual Analysis
160,898566,daily pm checklist wt critical device th nov need prepared share ch,"Daily PM checklist of all WT critical devices as on 17 th Nov '2014,needs to be prepared and shared with CH.",need,share ch,checklist wt critical,checklist wt critical device,Need Manual Analysis
161,841323,daily pm checklist wt critical device th nov need prepared share ch,"Daily PM checklist of all WT critical devices as on 19 th Nov '2014,needs to be prepared and shared the same with CH.",need,share ch,checklist wt critical,checklist wt critical device,Need Manual Analysis
162,1126877,daily pm checklist wt critical device th nov need prepared share ch,"Daily PM checklist of all WT critical devices as on 20 th Nov '2014,needs to be prepared and shared with CH.",need,share ch,checklist wt critical,checklist wt critical device,Need Manual Analysis
163,816720,daily pm checklist wt critical device th nov need prepared share ch,"Daily PM checklist of all WT critical devices as on 24 th Nov '2014,needs to be prepared and share with CH.",need,share ch,checklist wt critical,checklist wt critical device,Need Manual Analysis
164,883480,daily pm checklist wt critical device th nov need prepared share ch,"Daily PM checklist of all WT critical devices as on 26 th Nov '2014,needs to be prepared and shared with CH.",need,share ch,checklist wt critical,checklist wt critical device,Need Manual Analysis
165,713188,daily pm checklist wt critical device th nov need preapar share ch,"Daily PM checklist of all WT critical devices as on 27 th Nov '2014,needs to be preapared and shared with CH.",need,share ch,checklist wt critical,checklist wt critical device,Need Manual Analysis
166,916930,daily pm checklist wt critical device rd november need prepared share ch,"Daily PM checklist of all WT critical devices as on 3 rd November '2014,needs to be prepared and shared the same with CH.",need,share ch,checklist wt critical,checklist wt critical device,Need Manual Analysis
167,842473,daily pm checklist wt critical device th nov need prepared share ch,"Daily PM checklist of all WT critical devices as on 4 th Nov '2014,needs to be prepared and shared the same with CH.",need,share ch,checklist wt critical,checklist wt critical device,Need Manual Analysis
168,851729,daily pm checklist wt critical device th nov need prepared share ch,"Daily PM checklist of all WT critical devices as on 8 th Nov '2014,needs to be prepared and shared the same with CH.",need,share ch,checklist wt critical,checklist wt critical device,Need Manual Analysis
169,964749,daily pm checklist wt critical device th october need prepared share ch,"Daily PM checklist of all WT critical devices as on 9 th October '2014,needs to be prepared and shared with CH.",need,share ch,checklist wt critical,checklist wt critical device,Need Manual Analysis
170,883414,daily utilization detail report creditsuisse not work aruba,Daily Utilization Detail Report - Credit-Suisse - Not working from Aruba,not,not work,not work aruba,daily utilization detail report,Need Manual Analysis
171,672850,dana project user face slowness issue,DANA project users are facing slowness issue.,issue,slowness issue,face slowness issue,user face slowness issue,Need Manual Analysis
172,442954,datum backup,Data backup,backup,datum backup,No Pattern,No Pattern,Evaluate for Automation
173,736314,datum backup,Data backup,backup,datum backup,No Pattern,No Pattern,Evaluate for Automation
174,1047690,datum backup laptop laptop,"data backup, laptop to laptop",laptop,datum backup,datum backup laptop,datum backup laptop laptop,Need Manual Analysis
175,834478,data card,Data card,card,data card,No Pattern,No Pattern,Need Manual Analysis
176,903289,data card,DATA CARD,card,data card,No Pattern,No Pattern,Need Manual Analysis
177,799871,data card installation,Data Card installation,installation,data card,data card installation,No Pattern,Need Manual Analysis
178,1042229,data card installation,Data card Installation,installation,data card,data card installation,No Pattern,Need Manual Analysis
179,1041893,data card installation,Data Card installation,installation,data card,data card installation,No Pattern,Need Manual Analysis
180,962623,datum card not detect laptop rectify,Data card is not detecting in my Laptop. Please rectify the same.,not,datum card,datum card not,not detect laptop rectify,Need Manual Analysis
181,1014297,data card issue,Data card issue,issue,data card,data card issue,No Pattern,Need Manual Analysis
182,721945,data card issue,data card issue,issue,data card,data card issue,No Pattern,Need Manual Analysis
183,782767,data card issue,Data card issue,issue,data card,data card issue,No Pattern,Need Manual Analysis
184,933851,data card issue,DATA card issue,issue,data card,data card issue,No Pattern,Need Manual Analysis
185,1048005,datum card not work,DATA card not working,not,not work,datum card not,datum card not work,Need Manual Analysis
186,1048098,datum card not work laptop,Data card not working on laptop.,not,not work,not work laptop,datum card not work,Need Manual Analysis
187,1003919,data card problem,Data Card Problem,problem,data card,data card problem,No Pattern,Need Manual Analysis
188,960093,datum copy,data copy..,datum,datum copy,No Pattern,No Pattern,Need Manual Analysis
189,933873,datum recovery,Data Recovery,datum,datum recovery,No Pattern,No Pattern,Need Manual Analysis
190,942510,datum transfer,Data transfer,datum,datum transfer,No Pattern,No Pattern,Need Manual Analysis
191,960156,datacard,Datacard,datacard,No Pattern,No Pattern,No Pattern,Need Manual Analysis
192,759660,datacard issue,datacard issue,issue,datacard issue,No Pattern,No Pattern,Need Manual Analysis
193,751515,datacard issue,DataCard issue,issue,datacard issue,No Pattern,No Pattern,Need Manual Analysis
194,1070561,,david.augustine@wipro.com,No Pattern,No Pattern,No Pattern,No Pattern,Need Manual Analysis
195,844115,dc support server not accessible help priority regard mandar,"DC Support Team,   One of our servers, 10.200.49.210 is not accessible. Please help on priority.   Thanks & Regards, Mandar",not,server not,support server not,help priority regard mandar,Need Manual Analysis
196,1044178,dchauhan da issue direct access not work,"dchauhan---> da issue , direct access not working",issue,not work,direct access not,direct access not work,Need Manual Analysis
197,946275,de password issue,DE304522- password issue,issue,password issue,de password issue,No Pattern,Need Manual Analysis
198,565498,de,DE313701,de,No Pattern,No Pattern,No Pattern,Need Manual Analysis
199,667719,dc support,"Dear DC Support Team,",support,dc support,No Pattern,No Pattern,Need Manual Analysis
200,556284,store,"Dear Stores Team,",store,No Pattern,No Pattern,No Pattern,Need Manual Analysis
201,695376,regard face issue reset user passcodeuser recovery safeboot try follow step code generate user machine xsbcdabrvcmq message user machine,Dear Team  This is in regard with the L1 call 772923. We are facing issue while reset user passcode(User Recovery ) for Safeboot.   We have tried the following steps:  Code generated on the user machine: XS2BC3DABRVC5M8Q     Message from User Machine,issue,face issue,user passcodeuser recovery,safeboot try follow step,Need Manual Analysis
202,526509,dot forwarding enable email forward not work kindly check,dear team dot forwarding is enable only  but still email forward not working kindly check with this,not,not work,not work kindly,not work kindly check,Need Manual Analysis
203,877560,kindly add user -PRON- would blackberry office server group,dear team kindly add this user id in to blackberry office365 server group,user,add user,kindly add user,would blackberry office server,Need Manual Analysis
204,1069309,,"Dear Team,",No Pattern,No Pattern,No Pattern,No Pattern,Need Manual Analysis
205,1019894,,"Dear Team,",No Pattern,No Pattern,No Pattern,No Pattern,Need Manual Analysis
206,1121114,observed wipro mumbai andheri secondary link mar not business impacting event primary link stable checking end revert ft detail shortly,"Dear Team,  We have observed that WIPRO_ Mumbai Andheri Secondary Link is down from Mar 27 21:23:24  This is not business impacting event as Primary link is up and stable.  We are checking from our end and will revert with FT details shortly.",not,secondary link,ft detail shortly,checking end revert ft,Need Manual Analysis
207,1121107,observed wipro raipur single homed link mar business impacting event link location checking end revert ft detail shortly meanwhi,"Dear Team,  We have observed that WIPRO_ Raipur Single homed Link is down from Mar 27 19:59:18  This is business impacting event as there is no back up link at location.  We are checking from our end and will revert with FT details shortly.  Meanwhi",location,business impacting,ft detail shortly,checking end revert ft,Need Manual Analysis
208,1121097,-PRON- would need enable work lync,"Dear Team, ID needs to be enabled for working in lync",need,need enable,need enable work,need enable work lync,Need Manual Analysis
209,966043,teamuser able connect vpn issue connect vpn network slownesswe give system control noc,"Dear team,user is able to connect to vpn without any issues but when connected with vpn there is network slownesswe have also given the system control to noc team.",issue,connect vpn,vpn issue connect,give system control noc,Need Manual Analysis
210,1179642,teamuser login logout immediately,dear teamuser can login but it will logout immediately,login,teamuser login,teamuser login logout,teamuser login logout immediately,Service Improvement
211,820376,debmo federation access,debmo= federation access,access,federation access,debmo federation access,No Pattern,likely automatable
212,942240,deehar pw issue,deehar= pw issue,issue,pw issue,deehar pw issue,No Pattern,Need Manual Analysis
213,942954,degupta federation acccess,degupta3= federation acccess,federation,federation acccess,degupta federation acccess,No Pattern,Need Manual Analysis
214,893228,delay cecause work,Delayed cecause i am working on other call.,work,cecause work,delay cecause work,No Pattern,Need Manual Analysis
215,643737,delete enter button not work,delete and enter buttons are not working,not,not work,button not work,delete enter button not,Need Manual Analysis
216,775802,dell charger need replace,dell charger needs to be replaced,need,need replace,dell charger need,dell charger need replace,Need Manual Analysis
217,773183,desk request,Desk move request.,request,desk request,No Pattern,No Pattern,Need Manual Analysis
218,814388,desk phone,desk phone: 9077922766,desk,desk phone,No Pattern,No Pattern,Need Manual Analysis
219,849948,destination ip address need add class,Destination IP address need to be added to the class CardinalHealth-SSL2013111303,need,need add,address need add,address need add class,Need Manual Analysis
220,891513,detail share mail,Details shared in mail,mail,share mail,detail share mail,No Pattern,Need Manual Analysis
221,904493,devcie,devcie down,devcie,No Pattern,No Pattern,No Pattern,Need Manual Analysis
222,764993,devcie,devcie down,devcie,No Pattern,No Pattern,No Pattern,Need Manual Analysis
223,721489,devcie,devcie down,devcie,No Pattern,No Pattern,No Pattern,Need Manual Analysis
224,815491,devcie,devcie down,devcie,No Pattern,No Pattern,No Pattern,Need Manual Analysis
225,766965,devcie,Devcie down,devcie,No Pattern,No Pattern,No Pattern,Need Manual Analysis
226,942167,devcie,devcie down,devcie,No Pattern,No Pattern,No Pattern,Need Manual Analysis
227,777001,device addition tacac,Device addition in TACACS,device,device addition,device addition tacac,No Pattern,Need Manual Analysis
228,712790,device location,Device back for US location,device,device location,No Pattern,No Pattern,Need Manual Analysis
229,721849,device,Device down,device,No Pattern,No Pattern,No Pattern,Need Manual Analysis
230,854010,device,Device down,device,No Pattern,No Pattern,No Pattern,Need Manual Analysis
231,813458,device,device down,device,No Pattern,No Pattern,No Pattern,Need Manual Analysis
232,944615,device,Device down,device,No Pattern,No Pattern,No Pattern,Need Manual Analysis
233,813402,device,Device down,device,No Pattern,No Pattern,No Pattern,Need Manual Analysis
234,860174,device,Device Down,device,No Pattern,No Pattern,No Pattern,Need Manual Analysis
235,805856,device,device down,device,No Pattern,No Pattern,No Pattern,Need Manual Analysis
236,1016681,device,device down,device,No Pattern,No Pattern,No Pattern,Need Manual Analysis
237,879229,device,device down,device,No Pattern,No Pattern,No Pattern,Need Manual Analysis
238,893191,device,device down,device,No Pattern,No Pattern,No Pattern,Need Manual Analysis
